2021-12-15 13:14:47,727 DEBUG     decorators Function <send> called from function <send_to_all> (line 154) with arguments (<socket.socket fd=356, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53551), raddr=('127.0.0.1', 7777)>, {'action': 'to_all', 'time': 1639563287.7271683, 'account_name': 'user-2', 'message_text': 'So, we have a deal! :-)'})
2021-12-15 13:14:48,498 DEBUG     decorators Function <process_response> called from function <listen> (line 110) with arguments ({'action': 'to_all', 'time': 1639563287.7271683, 'account_name': 'user-2', 'message_text': 'So, we have a deal! :-)'},)
2021-12-15 13:14:48,498 DEBUG     decorators Function <message_handler> called from function <process_response> (line 170) with arguments ({'action': 'to_all', 'time': 1639563287.7271683, 'account_name': 'user-2', 'message_text': 'So, we have a deal! :-)'},)
2021-12-15 13:14:48,498 DEBUG     decorators Function <process_response> called from function <listen> (line 110) with arguments ({'action': 'to_all', 'time': 1639563287.7271683, 'account_name': 'user-2', 'message_text': 'So, we have a deal! :-)'},)
2021-12-15 13:14:48,498 DEBUG     decorators Function <message_handler> called from function <process_response> (line 170) with arguments ({'action': 'to_all', 'time': 1639563287.7271683, 'account_name': 'user-2', 'message_text': 'So, we have a deal! :-)'},)
2021-12-15 13:14:48,498 DEBUG     decorators Function <process_response> called from function <listen> (line 110) with arguments ({'action': 'to_all', 'time': 1639563287.7271683, 'account_name': 'user-2', 'message_text': 'So, we have a deal! :-)'},)
2021-12-15 13:14:48,498 DEBUG     decorators Function <message_handler> called from function <process_response> (line 170) with arguments ({'action': 'to_all', 'time': 1639563287.7271683, 'account_name': 'user-2', 'message_text': 'So, we have a deal! :-)'},)
2021-12-15 13:14:48,498 DEBUG     decorators Function <receive> called from function <listen> (line 100) with arguments (<socket.socket fd=400, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53548), raddr=('127.0.0.1', 7777)>,)
2021-12-15 13:14:48,499 DEBUG     decorators Function <receive> called from function <listen> (line 100) with arguments (<socket.socket fd=396, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53549), raddr=('127.0.0.1', 7777)>,)
2021-12-15 13:14:48,499 DEBUG     decorators Function <receive> called from function <listen> (line 100) with arguments (<socket.socket fd=108, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53550), raddr=('127.0.0.1', 7777)>,)
2021-12-15 13:14:55,482 DEBUG     decorators Function <disconnect> called from function <main> (line 86) with arguments ()
2021-12-15 13:14:55,483 DEBUG     decorators Function <send> called from function <disconnect> (line 119) with arguments (<socket.socket fd=356, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53551), raddr=('127.0.0.1', 7777)>, {'action': 'exit', 'time': 1639563295.4837067, 'account_name': 'user-2'})
2021-12-15 13:14:59,501 DEBUG     decorators Function <disconnect> called from function <main> (line 86) with arguments ()
2021-12-15 13:14:59,502 DEBUG     decorators Function <send> called from function <disconnect> (line 119) with arguments (<socket.socket fd=400, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53548), raddr=('127.0.0.1', 7777)>, {'action': 'exit', 'time': 1639563299.5025632, 'account_name': 'user-1'})
2021-12-15 13:15:02,521 DEBUG     decorators Function <disconnect> called from function <main> (line 86) with arguments ()
2021-12-15 13:15:02,522 DEBUG     decorators Function <send> called from function <disconnect> (line 119) with arguments (<socket.socket fd=396, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53549), raddr=('127.0.0.1', 7777)>, {'action': 'exit', 'time': 1639563302.522436, 'account_name': 'user-4'})
2021-12-15 13:15:06,530 DEBUG     decorators Function <disconnect> called from function <main> (line 86) with arguments ()
2021-12-15 13:15:06,530 DEBUG     decorators Function <send> called from function <disconnect> (line 119) with arguments (<socket.socket fd=108, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53550), raddr=('127.0.0.1', 7777)>, {'action': 'exit', 'time': 1639563306.530783, 'account_name': 'user-3'})
