2022-01-19 15:24:11,846 INFO      messenger User John logged in
2022-01-19 15:24:11,846 DEBUG     decorators Function <response> called from function <presence> (line 378) with arguments (<socket.socket fd=1060, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50898)>, 200)
2022-01-19 15:24:11,847 INFO      decorators 200: 
2022-01-19 15:24:12,858 DEBUG     decorators Function <process_request> called from function <process_requests> (line 343) with arguments (<socket.socket fd=1060, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50898)>, {'action': 'get_users', 'time': 1642595051.8475533, 'account_name': 'John'}, [<socket.socket fd=1060, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50898)>])
2022-01-19 15:24:12,858 DEBUG     decorators Function <response_and_close> called from function <process_request> (line 363) with arguments (<socket.socket fd=1060, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50898)>, 400, 'Invalid action')
2022-01-19 15:24:12,865 ERROR     decorators 400: Invalid action
2022-01-19 15:25:37,334 DEBUG     decorators Function <process_request> called from function <process_requests> (line 343) with arguments (<socket.socket fd=508, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50951)>, {'action': 'presence', 'time': 1642595137.3336802, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}}, [<socket.socket fd=508, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50951)>])
2022-01-19 15:25:37,334 DEBUG     decorators Function <presence> called from function <process_request> (line 361) with arguments (<socket.socket fd=508, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50951)>, {'action': 'presence', 'time': 1642595137.3336802, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}})
2022-01-19 15:25:37,340 INFO      messenger User John logged in
2022-01-19 15:25:37,340 DEBUG     decorators Function <response> called from function <presence> (line 378) with arguments (<socket.socket fd=508, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50951)>, 200)
2022-01-19 15:25:37,340 INFO      decorators 200: 
2022-01-19 15:25:38,347 DEBUG     decorators Function <process_request> called from function <process_requests> (line 343) with arguments (<socket.socket fd=508, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50951)>, {'action': 'get_users', 'time': 1642595137.3416939, 'account_name': 'John'}, [<socket.socket fd=508, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50951)>])
2022-01-19 15:25:38,347 DEBUG     decorators Function <response_and_close> called from function <process_request> (line 363) with arguments (<socket.socket fd=508, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 50951)>, 400, 'Invalid action')
2022-01-19 15:25:38,355 ERROR     decorators 400: Invalid action
2022-01-19 15:27:58,224 DEBUG     decorators Function <process_request> called from function <process_requests> (line 343) with arguments (<socket.socket fd=1060, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59704)>, {'action': 'presence', 'time': 1642595277.2183082, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}}, [<socket.socket fd=1060, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59704)>])
2022-01-19 15:27:58,224 DEBUG     decorators Function <presence> called from function <process_request> (line 361) with arguments (<socket.socket fd=1060, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59704)>, {'action': 'presence', 'time': 1642595277.2183082, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}})
2022-01-19 15:27:58,249 INFO      messenger User John logged in
2022-01-19 15:27:58,249 DEBUG     decorators Function <response> called from function <presence> (line 378) with arguments (<socket.socket fd=1060, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59704)>, 200)
2022-01-19 15:27:58,249 INFO      decorators 200: 
2022-01-19 15:29:01,085 DEBUG     server Application is started
2022-01-19 15:29:01,110 INFO      messenger Server created and will be listen to port 7777
2022-01-19 15:29:06,690 DEBUG     decorators Function <process_request> called from function <process_requests> (line 343) with arguments (<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59766)>, {'action': 'presence', 'time': 1642595346.6894312, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}}, [<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59766)>])
2022-01-19 15:29:06,690 DEBUG     decorators Function <presence> called from function <process_request> (line 361) with arguments (<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59766)>, {'action': 'presence', 'time': 1642595346.6894312, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}})
2022-01-19 15:29:06,701 INFO      messenger User John logged in
2022-01-19 15:29:06,701 DEBUG     decorators Function <response> called from function <presence> (line 378) with arguments (<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59766)>, 200)
2022-01-19 15:29:06,702 INFO      decorators 200: 
2022-01-19 15:29:07,703 DEBUG     decorators Function <process_request> called from function <process_requests> (line 343) with arguments (<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59766)>, {'action': 'get_users', 'time': 1642595346.7023957, 'account_name': 'John'}, [<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59766)>])
2022-01-19 15:29:07,703 DEBUG     decorators Function <response_and_close> called from function <process_request> (line 363) with arguments (<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59766)>, 400, 'Invalid action')
2022-01-19 15:29:07,711 ERROR     decorators 400: Invalid action
2022-01-19 15:44:17,642 DEBUG     server Application is started
2022-01-19 15:44:17,667 INFO      messenger Server created and will be listen to port 7777
2022-01-19 15:44:22,707 DEBUG     decorators Function <process_request> called from function <process_requests> (line 344) with arguments (<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65026)>, {'action': 'presence', 'time': 1642596262.7063127, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}}, [<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65026)>])
2022-01-19 15:44:22,707 DEBUG     decorators Function <presence> called from function <process_request> (line 362) with arguments (<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65026)>, {'action': 'presence', 'time': 1642596262.7063127, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}})
2022-01-19 15:44:22,717 INFO      messenger User John logged in
2022-01-19 15:44:22,717 DEBUG     decorators Function <response> called from function <presence> (line 379) with arguments (<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65026)>, 200)
2022-01-19 15:44:22,717 INFO      decorators 200: 
2022-01-19 15:44:23,729 DEBUG     decorators Function <process_request> called from function <process_requests> (line 344) with arguments (<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65026)>, {'action': 'get_users', 'time': 1642596262.7182348, 'account_name': 'John'}, [<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65026)>])
2022-01-19 15:44:23,729 DEBUG     decorators Function <response_and_close> called from function <process_request> (line 364) with arguments (<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65026)>, 400, 'Invalid action')
2022-01-19 15:44:23,736 ERROR     decorators 400: Invalid action
2022-01-19 15:44:56,373 DEBUG     decorators Function <process_request> called from function <process_requests> (line 344) with arguments (<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65045)>, {'action': 'presence', 'time': 1642596295.3654513, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}}, [<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65045)>])
2022-01-19 15:44:56,373 DEBUG     decorators Function <presence> called from function <process_request> (line 362) with arguments (<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65045)>, {'action': 'presence', 'time': 1642596295.3654513, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}})
2022-01-19 15:44:56,389 INFO      messenger User John logged in
2022-01-19 15:44:56,389 DEBUG     decorators Function <response> called from function <presence> (line 379) with arguments (<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65045)>, 200)
2022-01-19 15:44:56,389 INFO      decorators 200: 
2022-01-19 15:44:57,402 DEBUG     decorators Function <process_request> called from function <process_requests> (line 344) with arguments (<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65045)>, {'action': 'get_users', 'time': 1642596296.3907886, 'account_name': 'John'}, [<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65045)>])
2022-01-19 15:44:57,402 DEBUG     decorators Function <response_and_close> called from function <process_request> (line 364) with arguments (<socket.socket fd=1328, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65045)>, 400, 'Invalid action')
2022-01-19 15:44:57,410 ERROR     decorators 400: Invalid action
2022-01-19 15:46:21,987 DEBUG     server Application is started
2022-01-19 15:46:22,012 INFO      messenger Server created and will be listen to port 7777
2022-01-19 15:46:26,092 DEBUG     decorators Function <process_request> called from function <process_requests> (line 344) with arguments (<socket.socket fd=1316, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65261)>, {'action': 'presence', 'time': 1642596386.0925179, 'type': 'status', 'user': {'account_name': 'John', 'status': 'Online'}}, [<socket.socket fd=1316, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 65261)>])
